dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-08	2025-12	PG	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	PM	open	true	true	true	true	406	390	390	406	327	327	16	0	63	0
2025-12-08	2025-12	PNC	open	true	true	true	true	406	390	390	406	207	207	16	0	183	0
2025-12-08	2025-12	PSX	open	true	true	true	true	406	390	390	406	225	225	16	0	165	0
2025-12-08	2025-12	QCOM	open	true	true	true	true	406	390	390	406	382	382	16	0	8	0
2025-12-08	2025-12	RBLX	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-08	2025-12	RTX	open	true	true	true	true	406	390	390	406	312	312	16	0	78	0
2025-12-08	2025-12	SBUX	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-08	2025-12	SCHW	open	true	true	true	true	406	390	390	406	327	327	16	0	63	0
2025-12-08	2025-12	SHOP	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	SLB	open	true	true	true	true	406	390	390	406	357	357	16	0	33	0
2025-12-08	2025-12	SNOW	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	SPGI	open	true	true	true	true	406	390	370	406	169	169	36	0	221	0
2025-12-08	2025-12	TFC	open	true	true	true	true	406	390	390	406	194	194	16	0	196	0
2025-12-08	2025-12	UPST	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-08	2025-12	USB	open	true	true	true	true	406	390	390	406	257	257	16	0	133	0
2025-12-08	2025-12	V	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-08	2025-12	VLO	open	true	true	true	true	406	390	390	406	269	269	16	0	121	0
2025-12-08	2025-12	WFC	open	true	true	true	true	406	390	390	406	376	376	16	0	14	0
2025-12-08	2025-12	XOM	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-09	2025-12	ABBV	open	true	true	true	true	406	390	390	406	362	362	16	0	28	0
2025-12-09	2025-12	ABNB	open	true	true	true	true	406	390	390	406	368	368	16	0	22	0
2025-12-09	2025-12	AFRM	open	true	true	true	true	406	390	390	406	375	375	16	0	15	0
2025-12-09	2025-12	ALLY	open	true	true	true	true	406	390	380	406	144	144	26	0	246	0
2025-12-09	2025-12	AMGN	open	true	true	true	true	406	390	390	406	367	367	16	0	23	0
2025-12-09	2025-12	AXP	open	true	true	true	true	406	390	390	406	368	368	16	0	22	0
2025-12-09	2025-12	BLK	open	true	true	true	true	406	390	370	406	171	171	36	0	219	0
2025-12-09	2025-12	BMY	open	true	true	true	true	406	390	390	406	374	374	16	0	16	0
2025-12-09	2025-12	C	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-09	2025-12	CAT	open	true	true	true	true	406	390	390	406	380	380	16	0	10	0
2025-12-09	2025-12	CL	open	true	true	true	true	406	390	390	406	259	259	16	0	131	0
2025-12-09	2025-12	CME	open	true	true	true	true	406	390	380	406	124	124	26	0	266	0
2025-12-09	2025-12	CMG	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-09	2025-12	COP	open	true	true	true	true	406	390	390	406	316	316	16	0	74	0
2025-12-09	2025-12	CSCO	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-09	2025-12	CVS	open	true	true	true	true	406	390	390	406	377	377	16	0	13	0
2025-12-09	2025-12	CVX	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-09	2025-12	DE	open	true	true	true	true	406	390	390	406	316	316	16	0	74	0
2025-12-09	2025-12	DIS	open	true	true	true	true	406	390	390	406	384	384	16	0	6	0
2025-12-09	2025-12	EOG	open	true	true	true	true	406	390	390	406	169	169	16	0	221	0
2025-12-09	2025-12	ETN	open	true	true	true	true	406	390	390	406	284	284	16	0	106	0
2025-12-09	2025-12	GE	open	true	true	true	true	406	390	390	406	342	342	16	0	48	0
2025-12-09	2025-12	GILD	open	true	true	true	true	406	390	390	406	314	314	16	0	76	0
2025-12-09	2025-12	GIS	open	true	true	true	true	406	390	390	406	266	266	16	0	124	0
