dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-08	2025-12	MMM	open	406	390	406	333	333	333	0	57	57	0
2025-12-08	2025-12	MO	open	406	390	406	360	360	360	0	30	30	0
2025-12-08	2025-12	MPC	open	406	390	406	98	98	98	0	292	292	0
2025-12-08	2025-12	MRK	open	406	390	406	386	386	386	0	4	4	0
2025-12-08	2025-12	MS	open	406	390	406	373	373	373	0	17	17	0
2025-12-08	2025-12	NOC	open	406	390	406	104	104	104	0	286	286	0
2025-12-08	2025-12	NOW	open	406	390	406	332	332	332	0	58	58	0
2025-12-08	2025-12	ORCL	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	OXY	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	PEP	open	406	390	406	379	379	379	0	11	11	0
2025-12-08	2025-12	PG	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	PM	open	406	390	406	327	327	327	0	63	63	0
2025-12-08	2025-12	PNC	open	406	390	406	207	207	207	0	183	183	0
2025-12-08	2025-12	PSX	open	406	390	406	225	225	225	0	165	165	0
2025-12-08	2025-12	QCOM	open	406	390	406	382	382	382	0	8	8	0
2025-12-08	2025-12	RBLX	open	406	390	406	373	373	373	0	17	17	0
2025-12-08	2025-12	RTX	open	406	390	406	312	312	312	0	78	78	0
2025-12-08	2025-12	SBUX	open	406	390	406	387	387	387	0	3	3	0
2025-12-08	2025-12	SCHW	open	406	390	406	327	327	327	0	63	63	0
2025-12-08	2025-12	SHOP	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	SLB	open	406	390	406	357	357	357	0	33	33	0
2025-12-08	2025-12	SNOW	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	SPGI	open	406	390	406	169	169	169	0	221	221	0
2025-12-08	2025-12	TFC	open	406	390	406	194	194	194	0	196	196	0
2025-12-08	2025-12	UPST	open	406	390	406	389	389	389	0	1	1	0
2025-12-08	2025-12	USB	open	406	390	406	257	257	257	0	133	133	0
2025-12-08	2025-12	V	open	406	390	406	388	388	388	0	2	2	0
2025-12-08	2025-12	VLO	open	406	390	406	269	269	269	0	121	121	0
2025-12-08	2025-12	WFC	open	406	390	406	376	376	376	0	14	14	0
2025-12-08	2025-12	XOM	open	406	390	406	385	385	385	0	5	5	0
2025-12-09	2025-12	ABBV	open	406	390	406	362	362	362	0	28	28	0
2025-12-09	2025-12	ABNB	open	406	390	406	368	368	368	0	22	22	0
2025-12-09	2025-12	AFRM	open	406	390	406	375	375	375	0	15	15	0
2025-12-09	2025-12	ALLY	open	406	390	406	144	144	144	0	246	246	0
2025-12-09	2025-12	AMGN	open	406	390	406	367	367	367	0	23	23	0
2025-12-09	2025-12	AXP	open	406	390	406	368	368	368	0	22	22	0
2025-12-09	2025-12	BLK	open	406	390	406	171	171	171	0	219	219	0
2025-12-09	2025-12	BMY	open	406	390	406	374	374	374	0	16	16	0
2025-12-09	2025-12	C	open	406	390	406	389	389	389	0	1	1	0
2025-12-09	2025-12	CAT	open	406	390	406	380	380	380	0	10	10	0
2025-12-09	2025-12	CL	open	406	390	406	259	259	259	0	131	131	0
2025-12-09	2025-12	CME	open	406	390	406	124	124	124	0	266	266	0
2025-12-09	2025-12	CMG	open	406	390	406	388	388	388	0	2	2	0
2025-12-09	2025-12	COP	open	406	390	406	316	316	316	0	74	74	0
2025-12-09	2025-12	CSCO	open	406	390	406	387	387	387	0	3	3	0
2025-12-09	2025-12	CVS	open	406	390	406	377	377	377	0	13	13	0
2025-12-09	2025-12	CVX	open	406	390	406	379	379	379	0	11	11	0
2025-12-09	2025-12	DE	open	406	390	406	316	316	316	0	74	74	0
