s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-10	BMY	406	406	406	383	383
2025-11-10	C	406	406	406	384	384
2025-11-10	CAT	406	406	406	387	387
2025-11-10	CL	406	406	406	237	237
2025-11-10	CME	406	406	406	172	172
2025-11-10	CMG	406	406	406	390	390
2025-11-10	COIN	406	406	406	390	390
2025-11-10	COP	406	406	406	361	361
2025-11-10	COST	406	406	406	390	390
2025-11-10	CRM	406	406	406	390	390
2025-11-10	CSCO	406	406	406	390	390
2025-11-10	CVS	406	406	406	349	349
2025-11-10	CVX	406	406	406	389	389
2025-11-10	DE	406	406	406	305	305
2025-11-10	DIS	406	406	406	390	390
2025-11-10	EOG	406	406	406	260	260
2025-11-10	ETN	406	406	406	254	254
2025-11-10	GE	406	406	406	388	388
2025-11-10	GILD	406	406	406	332	332
2025-11-10	GIS	406	406	406	236	236
2025-11-10	GOOGL	406	406	406	390	390
2025-11-10	GS	406	406	406	390	390
2025-11-10	HAL	406	406	406	340	340
2025-11-10	HD	406	406	406	389	389
2025-11-10	HON	406	406	406	272	272
2025-11-10	HOOD	406	406	406	390	390
2025-11-10	ICE	406	406	406	111	111
2025-11-10	INTC	406	406	406	390	390
2025-11-10	JNJ	406	406	406	376	376
2025-11-10	JPM	406	406	406	390	390
2025-11-10	KEY	406	406	406	258	258
2025-11-10	KHC	406	406	406	345	345
2025-11-10	KO	406	406	406	389	389
2025-11-10	LLY	406	406	406	388	388
2025-11-10	LMT	406	406	406	376	376
2025-11-10	LOW	406	406	406	320	320
2025-11-10	MA	406	406	406	345	345
2025-11-10	MCD	406	406	406	379	379
2025-11-10	META	406	406	406	390	390
2025-11-10	MMM	406	406	406	336	336
2025-11-10	MO	406	406	406	353	353
2025-11-10	MPC	406	406	406	178	178
2025-11-10	MRK	406	406	406	381	381
2025-11-10	MS	406	406	406	350	350
2025-11-10	MSFT	406	406	406	390	390
2025-11-10	MU	406	406	406	390	390
2025-11-10	NFLX	406	406	406	390	390
2025-11-10	NKE	406	406	406	390	390
2025-11-10	NOC	406	406	406	155	155
2025-11-10	NOW	406	406	406	367	367
2025-11-10	NVDA	406	406	406	390	390
2025-11-10	ORCL	406	406	406	391	391
2025-11-10	OXY	406	406	406	390	390
2025-11-10	PEP	406	406	406	377	377
2025-11-10	PFE	406	406	406	386	386
2025-11-10	PG	406	406	406	387	387
2025-11-10	PLTR	406	406	406	390	390
2025-11-10	PM	406	406	406	328	328
2025-11-10	PNC	406	406	406	261	261
2025-11-10	PSX	406	406	406	256	256
2025-11-10	PYPL	406	406	406	390	390
2025-11-10	QCOM	406	406	406	389	389
2025-11-10	QQQ	406	406	406	405	405
2025-11-10	RBLX	406	406	406	377	377
2025-11-10	RF	406	406	406	90	90
2025-11-10	RTX	406	406	406	364	364
2025-11-10	SBUX	406	406	406	389	389
2025-11-10	SCHW	406	406	406	353	353
2025-11-10	SHOP	406	406	406	389	389
2025-11-10	SLB	406	406	406	358	358
2025-11-10	SNOW	406	406	406	387	387
2025-11-10	SOFI	406	406	406	390	390
2025-11-10	SPGI	406	406	406	152	152
2025-11-10	SPY	406	406	406	405	405
2025-11-10	TFC	406	406	406	156	156
2025-11-10	TGT	406	406	406	389	389
2025-11-10	TSLA	406	406	406	391	391
2025-11-10	UBER	406	406	406	390	390
2025-11-10	UNH	406	406	406	390	390
